# bright_soliton_newton_state_v1
# A,1.00000000000000000e+00
# b,7.50000000000000000e-01
# Omega,1.79999999999999993e-01
# A_sol,7.50000000000000000e-01
# w_sol,5.00000000000000000e-01
# x_start,2.76149999999999984e+00
# v_start,0.00000000000000000e+00
# L,-1.00000000000000000e+01
# R_excluded,9.95000000000000284e+00
# N,400
# dx,5.00000000000007105e-02
# g,-1.00000000000000000e+00
# point_5_over_dx_squared,1.99999999999994316e+02
# interpolate,False
# exported_mass,2.30752941782598864e+00
# exported_x_cm,2.96712377001946592e+00
# exported_width,6.78845247267727103e-01
x,u_real,u_imag
-4.34999999999999964e+00,1.04881888355990211e-04,6.61545274257377853e-18
-4.29999999999999982e+00,1.12001094146492930e-04,7.06449874924082449e-18
-4.25000000000000000e+00,1.19571574823375487e-04,7.54200899844147186e-18
-4.19999999999999929e+00,1.27619985359988061e-04,8.04966474990546869e-18
-4.14999999999999947e+00,1.36174464207101497e-04,8.58924083265584440e-18
-4.09999999999999964e+00,1.45264715034240947e-04,9.16261080612322235e-18
-4.04999999999999982e+00,1.54922093550790045e-04,9.77175243203996732e-18
-4.00000000000000000e+00,1.65179699824721555e-04,1.04187536077283759e-17
-3.94999999999999929e+00,1.76072476561940888e-04,1.11058183108571004e-17
-3.89999999999999947e+00,1.87637313859898648e-04,1.18352733511953343e-17
-3.84999999999999964e+00,1.99913161006047736e-04,1.26095754009061095e-17
-3.79999999999999982e+00,2.12941145955678282e-04,1.34313187647560670e-17
-3.75000000000000000e+00,2.26764703195554045e-04,1.43032432327839770e-17
-3.69999999999999929e+00,2.41429710780609590e-04,1.52282427175406948e-17
-3.64999999999999947e+00,2.56984637421870526e-04,1.62093742800068345e-17
-3.59999999999999964e+00,2.73480700606018449e-04,1.72498683623581288e-17
-3.54999999999999982e+00,2.90972036842062243e-04,1.83531395531661772e-17
-3.50000000000000000e+00,3.09515885260016287e-04,1.95227982351581170e-17
-3.44999999999999929e+00,3.29172785932139382e-04,2.07626629988766305e-17
-3.39999999999999947e+00,3.50006794451189062e-04,2.20767741465048621e-17
-3.34999999999999964e+00,3.72085714484584262e-04,2.34694084253207342e-17
-3.29999999999999982e+00,3.95481350230914898e-04,2.49450949171662977e-17
-3.25000000000000000e+00,4.20269780938759051e-04,2.65086323809272838e-17
-3.19999999999999929e+00,4.46531659910502556e-04,2.81651080125984788e-17
-3.14999999999999947e+00,4.74352540709401557e-04,2.99199180935549231e-17
-3.09999999999999964e+00,5.03823233620530071e-04,3.17787905012255709e-17
-3.04999999999999982e+00,5.35040195790012539e-04,3.37478092992684840e-17
-3.00000000000000000e+00,5.68105958887096525e-04,3.58334417033719002e-17
-2.94999999999999929e+00,6.03129598605778544e-04,3.80425675616619699e-17
-2.89999999999999947e+00,6.40227250853090627e-04,4.03825122814759273e-17
-2.84999999999999964e+00,6.79522680066731665e-04,4.28610824414561092e-17
-2.79999999999999982e+00,7.21147905773167949e-04,4.54866052132677278e-17
-2.75000000000000000e+00,7.65243894247154277e-04,4.82679720859008179e-17
-2.69999999999999929e+00,8.11961322974222061e-04,5.12146869896546817e-17
-2.64999999999999947e+00,8.61461426559439569e-04,5.43369198448844055e-17
-2.59999999999999964e+00,9.13916933779996112e-04,5.76455655697709923e-17
-2.54999999999999982e+00,9.69513106658405170e-04,6.11523096702088183e-17
-2.50000000000000000e+00,1.02844889375090114e-03,6.48697009311529598e-17
-2.44999999999999929e+00,1.09093821131670270e-03,6.88112322300294541e-17
-2.39999999999999947e+00,1.15721136767415176e-03,7.29914302790995481e-17
-2.34999999999999964e+00,1.22751664787643273e-03,7.74259556893561319e-17
-2.29999999999999982e+00,1.30212207787088396e-03,8.21317142343758085e-17
-2.25000000000000000e+00,1.38131738956112811e-03,8.71269808395663689e-17
-2.19999999999999929e+00,1.46541621069057131e-03,9.24315376660280412e-17
-2.14999999999999947e+00,1.55475850623011170e-03,9.80668281028015904e-17
